Ticker,最新价,公司主营,市值,1日涨幅,5日涨幅,20日涨幅,连涨天数,成交量倍数,20日平均成交额,距离52周高点,信号
COHU,58.34,,,0.03918775893939719,0.1264722749811107,0.1325956523706482,3,0.9079977401446494,52944188.39141846,-0.21066165252408975,20日新高
RGTI,18.62,,,0.010857804674867966,0.12643678558806037,0.32056739967921377,3,0.8970770910347949,337847194.6773529,-0.6695065532693628,20日新高
DOCU,64.09,,,0.10309807265206028,0.1263619440983954,0.2006368500463116,1,1.7272555592747838,164413089.22815323,-0.2460887574713274,20日新高
FROG,95.15,,,0.10588099155526054,0.12576911151219905,0.04239705081437606,1,1.335010010331863,194083577.96329498,-0.030071325118525838,20日新高
UMAC,27.24,,,0.007769111325861333,0.12422617770318056,0.637019277059822,2,0.8806842070443244,82874844.9140644,-0.1849191722448913,20日新高
U,45.79,,,0.028295579851133512,0.12202889915842041,0.5167273966713324,9,0.952532436101257,422347164.61912155,-0.07438852262723827,连续5天上涨 / 20日新高
APO,143.58,,,0.0358560074945411,0.12180642415416632,0.16409928728809464,1,0.7180502235616888,523556154.1520691,-0.051902701741962654,20日新高
MLAB,113.2,,,0.0035460450856623638,0.12068106676773738,0.13837484079853923,3,1.761740827206523,14710330.286979675,0.0,20日新高
HLIT,13.08,,,0.08999999364217115,0.11986297790676326,0.07213115804908554,2,4.921968734226607,16375159.018325806,-0.23553480671458038,20日新高
BX,149.32,,,0.01987571606667804,0.11892102464514598,0.16959913965015905,1,0.7914516450778779,702335064.4835281,-0.17650420935758004,20日新高
KKR,115.3,,,0.03967539644128992,0.11774656712669063,0.12427355122382622,1,1.2526777487552727,488981880.8068466,-0.22233947728598236,20日新高
TMDX,89.64,,,0.03010805386868265,0.11756639337752195,0.17947367617958476,1,0.661336909229478,81281104.93701935,-0.4040686047012936,20日新高
CSGP,33.05,,,0.08360653236264093,0.11730896965194249,0.08824492340365686,1,1.0551709242876857,223010912.01800346,-0.6376891164789902,20日新高
PCOR,62.17,,,0.07226627560865584,0.11635840729090119,0.4265717199819752,1,1.1723686673281695,199673296.6571617,-0.21896985727760387,20日新高
PHAT,9.18,,,0.0010905374916723165,0.11543144784687454,-0.1692307559530205,5,0.726062563288541,15545594.601163864,-0.49225661814637567,连续5天上涨
FOXA,65.45,,,0.03806499191471735,0.11537144866833393,0.16895865308419178,1,0.8037055213667487,273842568.9154434,-0.1358421257650576,20日新高
CADL,11.8,,,0.10486890014565864,0.11531193533330919,0.24472581862079368,3,1.8814071115162239,11274282.991962433,0.0,20日新高
FIGR,31.88,,,0.03911339125340163,0.11468527047370336,0.03271779378280981,2,3.080994696905852,91048971.28393173,-0.5686646247981426,20日新高
NTNX,67.95,,,0.051044011515487986,0.1146653210096582,0.24473340828560075,4,1.294647622733393,144189857.57097244,-0.16235213698750472,20日新高
FOX,58.1,,,0.03805605158054015,0.11302677442431142,0.15300653260290598,1,0.5109390740934266,62432811.872406006,-0.1379539398116112,20日新高
INTU,358.29,,,0.07044909829950052,0.11301296781381964,0.21540757203215555,1,1.2201367654867794,1153720344.6331787,-0.49482707995524355,20日新高
FLY,26.77,,,0.008666146733317115,0.11263512269222509,0.4067261950520993,3,1.0599721825650052,77094796.95378304,-0.544805308065824,20日新高
TENB,40.03,,,0.08189185889991557,0.11194441053602433,-0.003981086162709646,11,0.783536359067273,126992778.26226234,-0.06143030839031227,连续5天上涨
HPQ,31.3,,,0.06898901991270634,0.11071678133771057,0.29660314947988,2,1.5932399663718482,399877601.33571625,0.0,20日新高
NE,44.29,,,0.004764044368181342,0.11002504315196848,0.0914243202826448,5,0.3403003283159009,69436515.644207,-0.17657070500537375,连续5天上涨 / 20日新高
INTA,41.02,,,0.03769293509938487,0.10984852472565865,0.4504950304734008,4,0.8182291262599438,26968213.976955414,-0.13950069155894773,20日新高
HASI,42.35,,,0.012431188627880063,0.10951009970381875,0.10286449977300571,2,0.7836032634495854,35174787.83678055,-0.011288191491900856,20日新高
DV,13.3,,,0.0007524626719743743,0.10925775184518893,0.12521155111016724,4,0.6400245763749394,55017994.14331436,-0.18254457181724248,20日新高
GKOS,189.45,,,0.01511006800434056,0.10834847637061307,0.20791890698656812,6,0.7576622956488758,147456047.8918457,0.0,连续5天上涨 / 20日新高
RNG,67.78,,,0.07792617092791843,0.10471843020123606,0.6691592409247125,1,0.5003753480594448,136631689.83301163,0.0,20日新高
OWL,12.66,,,0.03600651151951917,0.10471202489273046,0.3160083158022151,1,1.255117582489967,222339191.3441944,-0.31788665785543935,20日新高
TILE,38.73,,,0.005190780412038798,0.1034188383452952,0.13945271049434504,1,1.4564589322625865,14839510.992774963,0.0,20日新高
AZTA,33.91,,,0.011333166774520231,0.1031229700682148,0.26624342710798166,5,0.6647998045790677,19988803.8619709,-0.1731284751209825,连续5天上涨 / 20日新高
SPSC,79.37,,,0.03873837118974621,0.10282063916028106,0.20714833074649475,5,1.0529593065254033,43527541.2836647,-0.3147124593704439,连续5天上涨 / 20日新高
LRCX,337.01,,,0.033424381048350105,0.10216836797072415,0.050006289686710836,3,0.8071475839002684,3316941761.327362,-0.22227858627682928,20日新高
CCC,7.12,,,0.02152081777369852,0.10216715843881441,0.1866666475931804,1,0.6218430285506691,62464297.68912554,-0.29012960367747476,20日新高
DXCM,91.48,,,0.007488989893405185,0.10190324085701752,0.1731213057045815,6,0.8412197246655713,448908087.02316284,0.0,连续5天上涨 / 20日新高
PANW,396.0,,,0.023229348098307234,0.101560574028283,0.11867569966543523,2,0.7390841247416478,2126314699.3782043,0.0,20日新高
DQ,14.92,,,0.021917786744058088,0.10110700120106664,0.2516778507381294,2,0.8996116627797769,12356447.750463486,-0.5819557116730061,20日新高
FRSH,12.68,,,0.08887933076224819,0.10069442719773081,0.1950990306767646,1,0.8345164528948764,130380161.12454891,-0.0923407256403288,20日新高
PSKY,9.97,,,0.04947371231882203,0.10044147960984406,0.09080961625044282,10,1.1937278499675326,107604433.6639142,-0.4876725453076154,连续5天上涨 / 20日新高
NBR,91.35,,,0.018394666466164722,0.09914568407238367,0.10512937850249737,2,0.5744521528466028,22552354.873428345,-0.17427460234978187,20日新高
ORKA,108.12,,,0.006703921885230502,0.09855725216521471,0.30202314010771003,2,0.825025376344086,83062298.79470825,0.0,20日新高
SPHR,176.38,,,0.007367688456811683,0.0979831022968638,0.22981458049553938,4,2.1242765910296617,110354403.1425476,0.0,20日新高
SRPT,18.42,,,0.002176328474090994,0.0977353589117338,0.0690656161156904,4,0.6660999237614339,52755787.57464886,-0.24662578725909878,20日新高
ZD,55.91,,,0.017655646977602135,0.09735032404711008,0.04251349494476164,2,0.8246462684642172,35177454.60802078,0.0,20日新高
JBIO,23.81,,,0.025850943780136637,0.09723495985338904,0.08920397077516173,2,1.2990134323125098,17171247.659130096,-0.11322163397902119,20日新高
CIEN,442.79,,,0.02485828273440327,0.09666633107610889,0.13883390685753483,2,1.3398706057667726,841450074.2254639,-0.29379583964127287,20日新高
ZYME,25.76,,,0.033293217550973475,0.09617022250561003,0.044606666191247424,4,1.4787534644764415,10395250.957775116,-0.09803919080599177,20日新高
GO,10.8,,,0.06194691344294423,0.09533474308196799,0.1151264556333691,2,2.653129160850289,23631538.660769463,-0.42122184999735257,20日新高
TTAN,93.7,,,0.018478227698284666,0.09475407123906221,0.24105956222837333,5,0.8481884403391136,114666804.70695496,-0.21668621637847663,连续5天上涨 / 20日新高
BIRK,41.0,,,0.11594986736296131,0.09391676896359002,-0.04339712048212929,1,3.343245153027426,63510463.999938965,-0.23220975976694624,放量大涨
CRVS,15.14,,,0.005980076508125043,0.09235214418124826,0.060967053794714676,3,1.1786373479529197,11609579.824023247,-0.4067398091007135,20日新高
GDS,34.77,,,0.06200362477782062,0.09202262220899016,0.061679403290493706,3,3.6017619217326606,51165524.02019501,-0.26830807822344926,20日新高
XE,22.73,,,0.11695327352100571,0.09173870679195684,0.6435285370663488,1,1.2822923928717038,96769681.47409439,-0.3682601492100088,20日新高
ZM,109.84,,,0.044801666579702415,0.09141491458701734,0.1861770858299483,1,1.2410868759168803,293900792.9204178,-0.018233830582839228,20日新高
TWST,125.29,,,0.0006389412318477117,0.08938351959267088,0.3528776599697263,4,0.5742577748672968,161040659.43302155,0.0,20日新高
PL,24.75,,,0.010204081632652962,0.08934862447166991,0.12041647030502545,3,0.6107034156239431,157882970.41909218,-0.5184825045668753,20日新高
GPOR,170.04,,,0.0030082847313641636,0.08909234591877979,0.1091975857868912,6,0.5698377812663526,52947175.24459839,-0.23574098122193066,连续5天上涨 / 20日新高
ORCL,156.22,,,0.01918060063165483,0.08886875229328517,0.2577087382028007,2,0.74158779844567,4547837347.897034,-0.5187751340214792,20日新高
CRWD,225.53,,,0.01690864830300498,0.08746805266905211,0.10684140586650126,1,0.749124920944068,1542859217.1453857,0.0,20日新高
